feature,importance
demand_lag_7d,0.5275070580090002
demand_lag_1,0.27986398827470754
demand_lag_1d,0.08025190140141407
demand_lag_3h,0.022865765701480596
demand_diff_from_24h_avg,0.0184307893535289
demand_rolling_std_24h,0.015962459119079626
demand_rolling_mean_24h,0.013345225487624554
demand_rolling_mean_7d,0.010323052073507647
week_of_year,0.005498901492600465
day,0.005446259411755813
day_of_week_sin,0.005249927612683145
day_of_week,0.004946528382158391
day_of_week_cos,0.0030559811870682634
year,0.0021996357995615113
month_cos,0.0013204299405383721
month_sin,0.0011189148487498373
is_weekend,0.0010101177931748425
month,0.0007807883405967417
season,0.0005994916236148408
quarter,0.00022278414715463002
hour_cos,0.0
hour_sin,0.0
is_peak_evening,0.0
is_peak_morning,0.0
is_night,0.0
is_business_hours,0.0
hour,0.0
is_holiday,0.0
is_day_before_holiday,0.0
is_day_after_holiday,0.0
weekend_hour,0.0
holiday_hour,0.0
month_hour,0.0
